netid,name,duke_email,phone_number,affiliation,school,password
ysx010,Lauri Yakubov,ysx010@duke.edu,3401673891,Undergraduate,Pratt,b3KCxzXB
fdl530,Stanton Heineke,fdl530@duke.edu,1114488852,Undergraduate,Pratt,JdGNQvwl
dyh501,Dion Roath,dyh501@duke.edu,3669911199,Undergraduate,Pratt,DB28IeMva
hrz544,Gracia Walkey,hrz544@duke.edu,7895615976,Undergraduate,Pratt,c0YiFDaMp
yfa750,Lyman Croxall,yfa750@duke.edu,3063773623,Undergraduate,Pratt,BgS8VF
aho217,Kaitlin Snelgrove,aho217@duke.edu,4865511439,Undergraduate,Pratt,wZzNjhkoiiB
dqn303,Alexi Phythean,dqn303@duke.edu,1949496948,Undergraduate,Trinity,ra9ihmq0
pab637,Delphine Docket,pab637@duke.edu,1977811587,Undergraduate,Pratt,pBlVMC
yor037,Zola Jubb,yor037@duke.edu,9430553054,Undergraduate,Trinity,PsXd2YJO
nsu887,Kippie Bussen,nsu887@duke.edu,5277336143,Undergraduate,Pratt,yU7pGzgx
ujz540,Ardyth Bianco,ujz540@duke.edu,445987360,Undergraduate,Trinity,TM9qq4T
bdh625,Catharine Beckford,bdh625@duke.edu,4684765543,Undergraduate,Trinity,eWwU4Y
nzj502,Mufi Fawke,nzj502@duke.edu,3331020251,Undergraduate,Trinity,IZUomSus4d
axq244,Antony Dickins,axq244@duke.edu,1419615443,Undergraduate,Pratt,9UcKB1oY97i
uhm791,Ted Gallahar,uhm791@duke.edu,6929328813,Undergraduate,Pratt,1vKYD8Ax
bsk763,Bamby Blaxill,bsk763@duke.edu,2462524547,Undergraduate,Trinity,B0TwL8ILb
ywg077,Rosemaria Shenton,ywg077@duke.edu,4555469172,Undergraduate,Pratt,1ovWoHj9KRtB
ujz680,Pennie Coggins,ujz680@duke.edu,4734895685,Undergraduate,Pratt,f6oQ4ng4
ngy682,Cammi Mylchreest,ngy682@duke.edu,9746523468,Undergraduate,Pratt,uwC6cAXhre5m
peu781,Elli Norquay,peu781@duke.edu,964118025,Undergraduate,Trinity,GRRU2Jm
goy692,Christian Joan,goy692@duke.edu,9756117303,Undergraduate,Trinity,sViU5MB
cne763,Nicko Snawdon,cne763@duke.edu,4841603043,Undergraduate,Trinity,LhRs0CQ
xbp692,Tana Roskruge,xbp692@duke.edu,3538605615,Undergraduate,Trinity,WZQsf1GBHEl
qle397,Honey Colisbe,qle397@duke.edu,4927419900,Undergraduate,Pratt,AVLDdGyc
apq043,Wallie Desvignes,apq043@duke.edu,5070968289,Undergraduate,Pratt,UQ2d2WNX
hpi878,Claudio Stains,hpi878@duke.edu,4708986171,Undergraduate,Pratt,gufqc2YhP
bsq219,Rice McGiveen,bsq219@duke.edu,5549772525,Undergraduate,Trinity,u4mguI22fCR
dkz813,Modesta Wenban,dkz813@duke.edu,3153692238,Undergraduate,Trinity,1zUctwcTsYN
arv320,Maurise Bartoli,arv320@duke.edu,5471635781,Undergraduate,Trinity,QIJQzu2
qsb272,Mohammed Dignam,qsb272@duke.edu,570770732,Undergraduate,Pratt,RJQp3fSn
fza252,Alfonse Thowes,fza252@duke.edu,4437001880,Undergraduate,Trinity,DJxdgyU7
ndx763,Deloria Giamo,ndx763@duke.edu,5732007298,Undergraduate,Trinity,6iK7SOVe3ak
hfc456,Korie Klimek,hfc456@duke.edu,5805405815,Undergraduate,Trinity,mjyJdw2p14w
ymo676,Lizette Leverington,ymo676@duke.edu,8074824276,Undergraduate,Pratt,1eKMvgO9br
zvi096,Cobby Bradford,zvi096@duke.edu,8001295538,Undergraduate,Trinity,vYqN5PrciA
eiu801,Darrelle Mandry,eiu801@duke.edu,3267806761,Undergraduate,Trinity,NykZm2
hbq407,Bernadette Edgeon,hbq407@duke.edu,7490556956,Undergraduate,Trinity,Bokma8
zvd534,Haskel Berriball,zvd534@duke.edu,2877217298,Undergraduate,Pratt,5uIjirh1s
src401,Mame Michelmore,src401@duke.edu,638631485,Undergraduate,Trinity,E02CojcaN
xnp554,Wallis Alfwy,xnp554@duke.edu,3861340376,Undergraduate,Pratt,qeZeRl7cd
keh616,Hanni Joiner,keh616@duke.edu,3112520819,Undergraduate,Pratt,v5IfXC9
vxw906,Zebedee Furmage,vxw906@duke.edu,596519247,Undergraduate,Trinity,QLNw4YP
hfu458,Rriocard Ames,hfu458@duke.edu,8924502121,Undergraduate,Pratt,4cpLxH0zZF
mkc053,Valerye Aldhous,mkc053@duke.edu,7739277568,Undergraduate,Trinity,Q7cZbzAzl
qxa644,Nicol Grimme,qxa644@duke.edu,1026013110,Undergraduate,Pratt,kbiplh
mrh258,Garik Sulley,mrh258@duke.edu,1706367638,Undergraduate,Pratt,7oOrRk
bwd922,Dianemarie Knight,bwd922@duke.edu,6702672914,Undergraduate,Pratt,YWJHWTmG
epo402,Pauli De Atta,epo402@duke.edu,2909275983,Undergraduate,Pratt,3VthkahhVV
pfx376,Angelina Vaskov,pfx376@duke.edu,3197760580,Undergraduate,Trinity,v7L0GY
icd569,Yoko Esland,icd569@duke.edu,7158444728,Undergraduate,Pratt,QRLEvxs9N
ktl413,Matti Ech,ktl413@duke.edu,4181840711,Undergraduate,Pratt,Jta5sr5
dnq794,Ferguson Marle,dnq794@duke.edu,6359054548,Undergraduate,Pratt,kDU5Ef2iKWp
bvo869,Janeta Hanselmann,bvo869@duke.edu,2760435556,Undergraduate,Trinity,G9E29UM1M
fsr953,Clarine Nann,fsr953@duke.edu,3397509519,Undergraduate,Pratt,y4q71CbZHD
uzr791,Wain Kerrane,uzr791@duke.edu,4347372300,Undergraduate,Pratt,BfzeQO0g5qX6
kof738,Andonis MacCoveney,kof738@duke.edu,3148293010,Undergraduate,Pratt,7WoCSMvZ
uvr599,Gan Springthorpe,uvr599@duke.edu,8443926109,Undergraduate,Trinity,V2kT7y6N
xoe341,Sisely Doorey,xoe341@duke.edu,4352346130,Undergraduate,Pratt,CiodjDbo
ufh037,Noll Matzel,ufh037@duke.edu,137321261,Undergraduate,Pratt,2RJxqhuib
lis785,Stacy Rheaume,lis785@duke.edu,9313650963,Undergraduate,Pratt,3FMhrNF6v
xnl381,Veronika Fuentes,xnl381@duke.edu,5546477361,Undergraduate,Trinity,gBjInD
jtx596,Nickolaus Avey,jtx596@duke.edu,790161348,Undergraduate,Trinity,gdysi1A
fha297,Tamqrah Gutowski,fha297@duke.edu,425670292,Undergraduate,Trinity,dHDNHC
ayq166,Sig Deeth,ayq166@duke.edu,120918219,Undergraduate,Trinity,8SwgRxL
uyx550,Carri O'Luby,uyx550@duke.edu,591813838,Undergraduate,Pratt,xpdjM5
aqv035,Hubert Camelin,aqv035@duke.edu,1913912941,Undergraduate,Pratt,k498weB7
tyh388,Rosaleen Cownden,tyh388@duke.edu,6052059373,Undergraduate,Pratt,mqNxt1u
rnl523,Lewes Filipyev,rnl523@duke.edu,477358367,Undergraduate,Trinity,p2Tj9EJs2
geu807,Neron Cannam,geu807@duke.edu,7907712461,Undergraduate,Trinity,YPKiqDhOy
gwn509,Peggi Bendon,gwn509@duke.edu,9694482486,Undergraduate,Trinity,wDSljyY
sdu278,Theressa McTrustey,sdu278@duke.edu,2553091879,Undergraduate,Pratt,cdujxai
lew278,Rosemaria Peebles,lew278@duke.edu,6462577693,Undergraduate,Pratt,Lf4I6zj
ori944,Kermy Coper,ori944@duke.edu,4506920843,Undergraduate,Pratt,aSVGq5AglKB
zqx122,Bobbette Swigg,zqx122@duke.edu,7420133169,Undergraduate,Pratt,9IjEtxapgT
nre923,Laverna Bucktrout,nre923@duke.edu,2057433643,Undergraduate,Pratt,BDAJCcA
zhb829,Sile Alldridge,zhb829@duke.edu,3168787110,Undergraduate,Pratt,phWEVUEW
dtw112,Graehme Teece,dtw112@duke.edu,8866696962,Undergraduate,Pratt,4iBFee
ptu301,Florri Goscar,ptu301@duke.edu,5144187160,Undergraduate,Pratt,Fc3Vi8G5Rir
ink427,Chiquia Tomaszynski,ink427@duke.edu,9663879717,Undergraduate,Pratt,o8ULxrsM03fX
emb705,Billi Purnell,emb705@duke.edu,9142721343,Undergraduate,Pratt,e9Uocxe
bgj824,Kris Finneran,bgj824@duke.edu,6204635059,Undergraduate,Pratt,CTqbVF28lI
ite698,Addison Coade,ite698@duke.edu,9430348933,Undergraduate,Trinity,BvR0yr
hdx201,Rosa Worsall,hdx201@duke.edu,795551584,Undergraduate,Pratt,TFIP0bpUkSj
ydh780,Michelina Jent,ydh780@duke.edu,5545229527,Undergraduate,Pratt,beTBev
iux723,Abrahan Naul,iux723@duke.edu,8033985162,Undergraduate,Trinity,Z91aEZ
qnc216,Silvia Novill,qnc216@duke.edu,1269961986,Undergraduate,Trinity,7teVPq8G42mE
ypi478,Vinnie Akenhead,ypi478@duke.edu,3221228931,Undergraduate,Trinity,lFU6fM
pij165,Freedman Axston,pij165@duke.edu,3689065772,Undergraduate,Pratt,zoQ0tDA5IoBu
ozy530,Ofilia Moncreiff,ozy530@duke.edu,327121605,Undergraduate,Pratt,DLDChDzg
jys161,Winslow Hammerman,jys161@duke.edu,4271634109,Undergraduate,Pratt,d899s82W
veo895,Paula Mansion,veo895@duke.edu,8019044022,Undergraduate,Pratt,5zt3dNBAcXt
qsb431,Gerianna Bernardot,qsb431@duke.edu,4295447262,Undergraduate,Pratt,dsbTPf
alk540,Lucais Bestwall,alk540@duke.edu,8266190205,Undergraduate,Pratt,vA94lI3I5
buj971,Konstanze Destouche,buj971@duke.edu,5056143863,Undergraduate,Pratt,EOCH3H
lnr560,Alasteir Croshaw,lnr560@duke.edu,8692333846,Undergraduate,Pratt,tSebv0vOW0
fzt436,Opaline Hatry,fzt436@duke.edu,9709558364,Undergraduate,Pratt,KwWplx
cbm781,Dulcy Sowden,cbm781@duke.edu,7656705119,Undergraduate,Pratt,l7ITXOPyxP8O
npg811,Doretta Blunden,npg811@duke.edu,9733935434,Undergraduate,Trinity,13lT3F
cdu355,Lenna Mishow,cdu355@duke.edu,2693687959,Undergraduate,Pratt,4DCfO1f
toa170,Malachi Aberchirder,toa170@duke.edu,2498802717,Undergraduate,Trinity,uReYUD
nkr121,Windham McColley,nkr121@duke.edu,2079742375,Undergraduate,Trinity,YLQ0Mo1
euz926,Amalle Kynan,euz926@duke.edu,5282765902,Undergraduate,Trinity,Z3ErR6
ksz028,Klemens Isabell,ksz028@duke.edu,905574154,Undergraduate,Pratt,odj6Wzo
eui748,Jackqueline Flather,eui748@duke.edu,6063900676,Undergraduate,Pratt,CVXCDyq8td8j
rie315,Stillman Downgate,rie315@duke.edu,5007667624,Undergraduate,Pratt,Lr9ji32
mya240,Shelley Silberschatz,mya240@duke.edu,4466240023,Undergraduate,Pratt,BnrQGwh
lfh162,Karim Bronger,lfh162@duke.edu,7069497510,Undergraduate,Trinity,9byTuSGQfOZ
zbj158,Osmund Westmerland,zbj158@duke.edu,9077723268,Undergraduate,Trinity,73Iddt8v
xmk470,Zacharie Tapp,xmk470@duke.edu,2110266045,Undergraduate,Trinity,tecuq3ZOmoWH
fhs733,Jewel Benedettini,fhs733@duke.edu,7573722302,Undergraduate,Pratt,G9h9uNBJoBaM
opi654,Eunice Spurdens,opi654@duke.edu,8201642482,Undergraduate,Pratt,ZVTSX7BUeL
oez108,Hilda Puvia,oez108@duke.edu,1617879829,Undergraduate,Trinity,fwAtVBF
hpo663,Spenser Brosini,hpo663@duke.edu,969977303,Undergraduate,Trinity,ba3aqFAUN
ypa725,Lianna Rubke,ypa725@duke.edu,7249003183,Undergraduate,Trinity,miSc8sxQ
tdh127,Tuck Chedgey,tdh127@duke.edu,9764112320,Undergraduate,Trinity,CKePaQMyT
tgy065,Luce Morant,tgy065@duke.edu,5953746536,Undergraduate,Pratt,EeH6vuxCp1
gxh236,Hervey Cowell,gxh236@duke.edu,4901506461,Undergraduate,Trinity,MvCvEpt
dom413,Alexia Kollatsch,dom413@duke.edu,8613125049,Undergraduate,Trinity,nHfHQh7HH
bad020,Phineas Thieme,bad020@duke.edu,515921901,Undergraduate,Pratt,PaY9cENq08R
umj244,Ofelia Davioud,umj244@duke.edu,6669234225,Undergraduate,Pratt,FwJzuM
ejh365,Rriocard Storre,ejh365@duke.edu,182303550,Undergraduate,Trinity,YDHreTc
ypo534,Jacky Brecknall,ypo534@duke.edu,8949083122,Undergraduate,Trinity,5sKswUR
ucs337,Gianni Mendoza,ucs337@duke.edu,4569940672,Undergraduate,Trinity,bSyM0W9crEI
fve453,Gisele Tinghill,fve453@duke.edu,6772318179,Undergraduate,Pratt,QSx4oIVFBls
tiz958,Kaile Risley,tiz958@duke.edu,62657052,Undergraduate,Pratt,Jc05APEOMy
atf512,Vivienne Neil,atf512@duke.edu,2117778202,Undergraduate,Pratt,q1TB0gb
fcb135,Zacharia Smeall,fcb135@duke.edu,6983889326,Undergraduate,Trinity,v0VeHA
cws998,Davy Stichel,cws998@duke.edu,7816036470,Undergraduate,Pratt,1c0EY6l6CvH
xaj587,Gaspar Boagey,xaj587@duke.edu,3568131215,Undergraduate,Pratt,gfQUQS
pty976,Geoffrey Malling,pty976@duke.edu,1226649902,Undergraduate,Trinity,tOR0ttW3DQNI
dxf715,Brande Bamling,dxf715@duke.edu,9314202624,Undergraduate,Trinity,zh6QxnX
cae504,Shay Parmenter,cae504@duke.edu,992288702,Undergraduate,Pratt,ZOxWheX
owc952,Kass Downie,owc952@duke.edu,9187329978,Undergraduate,Trinity,SpcVA4KE9DkQ
zou225,Rheta Aspray,zou225@duke.edu,1432361375,Undergraduate,Trinity,WwzgF7sF1A
hcm794,Germain Petrasek,hcm794@duke.edu,4551276557,Undergraduate,Trinity,I7lpcXEGkjQ6
nxu637,Helsa Walsh,nxu637@duke.edu,6410548400,Undergraduate,Trinity,ZGRJPV
fwd726,Sherline Surgeoner,fwd726@duke.edu,1659873776,Undergraduate,Trinity,RigPvu3DFap
ieb621,Urbain Klimes,ieb621@duke.edu,3465130650,Undergraduate,Trinity,XHNsujxL9
zbm329,Avram Fairman,zbm329@duke.edu,8095282894,Undergraduate,Trinity,cTwK0uddo
mlz406,Dean Titta,mlz406@duke.edu,512264822,Undergraduate,Pratt,UvVO6q
fmg074,Sibilla Clementson,fmg074@duke.edu,4867570820,Undergraduate,Trinity,PpHFGn
xfh009,Kinsley Capaldi,xfh009@duke.edu,3760457253,Undergraduate,Pratt,mEDDMRxoCu
sbw684,Liesa Sheddan,sbw684@duke.edu,5431026829,Undergraduate,Trinity,3yoW2Sgd
wfk045,Simone Denisevich,wfk045@duke.edu,8015525036,Undergraduate,Pratt,yUF3wKtz
wmx317,Elora Dosedale,wmx317@duke.edu,2789303211,Undergraduate,Trinity,JO1mG1Pm
flz085,Fay Marron,flz085@duke.edu,7024746700,Undergraduate,Trinity,KBaXFFH
cdu408,Calley Endley,cdu408@duke.edu,8481169837,Undergraduate,Pratt,VEDL36kCXK
tzo157,Christos Varley,tzo157@duke.edu,1297808422,Undergraduate,Trinity,CgyfBMX
mrq666,Brendan Pettis,mrq666@duke.edu,3137066790,Undergraduate,Pratt,GMaE9D
fod517,Shana Shenfisch,fod517@duke.edu,4805219351,Undergraduate,Trinity,qhD1uOPt8Hh
aep104,Brandise Bourner,aep104@duke.edu,3243750648,Undergraduate,Trinity,51e7sZRpx5
shl429,Ambrosi Mettericke,shl429@duke.edu,6653545039,Undergraduate,Trinity,ZFHvW02tBDo
byo010,Jacinda Keeley,byo010@duke.edu,8528910859,Undergraduate,Pratt,Sahly9
lqk005,Ben Coger,lqk005@duke.edu,5946096015,Undergraduate,Pratt,7JEsm6H9
bpt968,Marv Zanassi,bpt968@duke.edu,295837086,Undergraduate,Trinity,XTTkK7
vwc339,Myrvyn Paxton,vwc339@duke.edu,7048262765,Undergraduate,Pratt,Eaj4YwMppv
uwb626,Emmye Emblen,uwb626@duke.edu,6696643048,Undergraduate,Pratt,VwruWOia
jiv877,Louis Mawby,jiv877@duke.edu,9577761198,Undergraduate,Trinity,u98uiBwA0TFT
elg064,Wandis Poure,elg064@duke.edu,3334112621,Undergraduate,Pratt,ApiOWxbine
rwd662,Carmon Brunotti,rwd662@duke.edu,1040918045,Undergraduate,Pratt,aQe1JIxejZt
zqp345,Sascha Henmarsh,zqp345@duke.edu,3949505938,Undergraduate,Trinity,OQuaJu2P
hga363,Arley Benduhn,hga363@duke.edu,8595021269,Undergraduate,Pratt,VURQMeMBYc
fno168,Sonny Hendrikse,fno168@duke.edu,1124673341,Undergraduate,Trinity,BBgHK5bEvbR
oxw537,Humbert Whyffen,oxw537@duke.edu,9065929278,Undergraduate,Pratt,WXEyKyrzh
his666,Isadora Reast,his666@duke.edu,803553473,Undergraduate,Pratt,BpgbUsTRr
hwi269,Barth Bogges,hwi269@duke.edu,9017054721,Undergraduate,Trinity,hjcaNY
dqh514,Evelina MacLeod,dqh514@duke.edu,2588381602,Undergraduate,Trinity,3OsrJ2h5sPR
ufl603,Deny Nixon,ufl603@duke.edu,6260541268,Undergraduate,Pratt,IguXUyt
alh126,Merralee Gowenlock,alh126@duke.edu,2406148986,Undergraduate,Pratt,5Dfxlz8ViMQ
uxc452,Antoni Grady,uxc452@duke.edu,4171635039,Undergraduate,Pratt,xkiZziy
mug188,Kimberlyn Chadd,mug188@duke.edu,5256977724,Undergraduate,Pratt,HeNoErGf
krj560,Matthiew Wigglesworth,krj560@duke.edu,559076409,Undergraduate,Pratt,jnHPZlPRU
pvm917,Flora Busch,pvm917@duke.edu,4126965742,Undergraduate,Pratt,Tud9Ue1vm5
nmx434,Fredra Cherry Holme,nmx434@duke.edu,5072797328,Undergraduate,Trinity,tB9Qx1YI8Tt
ksb885,Clevie Piel,ksb885@duke.edu,4871658152,Undergraduate,Pratt,PCAQOIsPQh2
jvw414,Aubree Coomer,jvw414@duke.edu,2721018959,Undergraduate,Pratt,zaHHkD
uqm164,Barbe Sealeaf,uqm164@duke.edu,2975068700,Undergraduate,Pratt,Mkw2IcY
krw984,Lazaro Beckford,krw984@duke.edu,2399936172,Undergraduate,Trinity,7GfmS1u2Sxf
bjm463,Wandie Nolan,bjm463@duke.edu,1871694848,Undergraduate,Pratt,EyLJgqK2U
yxh764,Rogers Opie,yxh764@duke.edu,8191655675,Undergraduate,Trinity,f4TwfRvcnngm
iuq836,Nola Poter,iuq836@duke.edu,822417744,Undergraduate,Trinity,rQ26aCvSfLgm
iwy460,Gerianne Hathwood,iwy460@duke.edu,6283553317,Undergraduate,Pratt,DD3GJxQY
skw080,Toma Moneypenny,skw080@duke.edu,9242789373,Undergraduate,Trinity,b2hBz2
chq157,Katherine Wandless,chq157@duke.edu,9099506186,Undergraduate,Trinity,XaCIAZiRG
ixo733,Dollie Beedell,ixo733@duke.edu,6161237397,Undergraduate,Trinity,G73hMtcisyR
